1,Titre0,niveau1,niveau2,niveau3,niveau4,niveau5,niveau6,niveau7,niveau8,niveau9,niveau10,,,,,,,
101,Electricité statique,Toute la matière est constituée de charges électriques.,,,,,,,,,,,,,,,,
110,Circuit électrique,Les composants d'un circuit électrique seront appelés dipôles.,Tous les dipôles d'un circuit série sont sur une seul branche (une seule boucle).,Schématisation et symboles électrique,"Un interrupteur ouvert empêche le courant électrique de passer, il équivaut à un isolant. Un interrupteur fermé se comporte comme un conducteur.",Un circuit en dérivation comporte plusieurs branches (plusieurs boucles).,Une installation domestique classique est constitué d'appareils en dérivation.,,,,,,,,,,,
113,Courant électrique,Le courant électrique est la circulation de charges électriques.,Le circuit doit être fermé pour qu'il y ait circulation de courant électrique.,Le courant électrique permet de transférer de l'énergie électrique du générateur vers les récepteurs.,Le courant électrique circule de la borne plus à la borne moins de la pile.,L'intensité électrique est le débit de charges par seconde.,L'intensité du courant électrique se mesure en ampère grâce à un ampèremètre. L'intensité est symbolisée par la lettre I.,"L'intensité se mesure en un point du circuit, l'ampèremètre est conducteur et se branche en série.",Les noeuds sont les points du circuit où le courant peut aller à plusieurs endroits. Une branche est une portion de circuit comprise entre deux noeuds.,Les conducteurs sont parcourus par un courant sans avoir de tension à leurs bornes car les conducteurs ne consomment pas d'énergie électrique.,L'intensité est la même tout au long d'une branche car tous les électrons qui entrent dans une branche en sortent.,,,,,,,
114,Courant électrique 2,La somme des intensités qui pénètrent dans un noeud est égale à la somme des intensités qui en sortent. ,"Si aucun courant ne circule dans un récepteur, il ne fonctionnera pas et ne consommera aucune tension.",,,,,,,,,,,,,,,
120,Résistance,"Certains matériaux sont isolants, d'autres sont conducteurs.",Les minéraux contenus dans l'eau rendent celle-ci conductrice. Tous les métaux sont conducteurs.,"Plus la résistance(R) d'un circuit est grande, plus l'intensité est petite.",L'énergie électrique récupérée par un matériau résistant sera transformée en chaleur.,La résistance se mesure en Ohm à l'aide d'un Ohmmètre. la résistance est symbolisée par la lettre R.,La tension aux bornes de chaque dipôle d'un circuit série ne dépend pas de l'ordre des dipôles.,L'intensité du courant dans une branche ne dépend pas de l'ordre des dipôles. La somme des résistances est la même dans la branche quelque soit l'ordre des récepteurs.,Les ions conduisent le courant électrique.,,,,,,,,,
130,Tension électrique,La tension correspond à l'énergie de chaque électron.,"Quand on veut connaître la tension aux bornes d'un dipôle, on mesure la différence d'énergie des électrons aux bornes de ce dipôle.","La grandeur ""tension électrique"" a pour unité le Volt(V). La tension est symbolisée par la lettre U.",La tension se mesure avec un voltmètre branché en dérivation.Le voltmètre est isolant.,Une tension peut exister entre deux points d'une portion de circuit non parcourue par un courant. C'est le cas des isolants.,Dans un circuit en série toute l'énergie donnée par le générateur est partagée entre les récepteurs.Donc la somme des tensions aux bornes des récepteurs est égale à la tension aux bornes du générateur.,"Pour fonctionner normalement, un récepteur doit avoir à ses bornes une tension proche de sa fonction nominale. Pour une tension inférieure, on parlera de sous-tension, et pour une tension supérieure de sur-tension.",La tension est la même aux bornes de deux dipôles en dérivation car ils ont la même différence d'énergie à leurs bornes.,La loi d'ohm indique que la tension est égale au produit de l'intensité et de la résistance.U=RI,,,,,,,,
135,Tension alternative,Une tension variable ne reste pas constante au cours du temps. Une tension alternative prendra des valeurs positives et négatives.,Les valeurs maximales d'une tension variable seront les valeurs les plus hautes et les plus basses que prendront la tension.,Une tension périodique est une tension qui est constituée d'un motif (signal)qui se répète au cours d'un certain temps. Ce temps est appelé période et est symbolisé par T. Il s'exprime en secondes.,Un alternateur produit une tension alternative.,La fréquence est le nombre de motifs (de signaux) par seconde. On peut la calculer en sachant que c'est l'inverse de la période.f=1/T. La fréquence s'exprime en Hertz (Hz).,"La valeur efficace d'un courant alternatif est la valeur pour laquelle sa tension aura la même ""efficacité"" qu'un courant continu. C'est ce qu'indiquera un voltmètre branché en alternatif.","La tension du secteur est alternative et périodique, elle a pour fréquence 50Hz et pour tension efficace 230V.",,,,,,,,,,
136,Utiliser un oscilloscope,,Un oscilloscope représente la tension en fonction du temps.,Les sensibilités verticales et horizontales permettent de visualiser le signal comme on le souhaite.,Deux ondes peuvent être affichée en même temps.,Régler la position verticale et horizontale,Trigger,Xy,,,,,,,,,,
140,Energie électrique,Les récepteurs ont besoin d'énergie pour fonctionner.,Un générateur transfère de l'énergie électrique aux récepteurs qui la convertissent en d'autres formes.,Un alternateur transforme l'énergie mécanique en énergie électrique. L'alternateur est la partie commune à toutes les centrales électriques.,Les sources d'énergie non renouvelables sont limitées contrairement aux sources d'énergie renouvelable.,La puissance (P) nominale est l'énergie que consomme un appareil par unité de temps. Elle se mesure en Watt (W).,La puissance est le produit de la tension et de l'intensité. P=U.I où U(la tension) et I (l'intensité) sont des valeurs efficaces.,L'énergie est la puissance multipliée par le temps L'énergie électrique (E) transférée pendant une durée t à un appareil de puissance P est donné par E=P.t L'énergie s'exprime en Joule(J).,,,,,,,,,,
145,Effet photo-électrique,Une photopile convertit de l'énergie lumineuse en énergie électrique.,,,,,,,,,,,,,,,,
150,Sécurité électrique,Un court-circuit aux bornes d'un générateur est dangereux.,Le corps humain est conducteur.,On peut empêcher le passage d'un courant électrique grâce à des isolants.,"Plus l'intensité dans un conducteur sera grande, plus il va chauffer. Cela peut provoquer des incendies pour des valeurs d'intensité trop importantes.",Les coupe-circuits tels que fusibles ou disjoncteur servent à éviter une trop grande intensité dans un circuit.,,,,,,,,,,,,
180,"champ électrique et magnétique, induction",Une tension peut être obtenu par déplacement d'un aimant près d'une bobine. Le signe et la valeur de la tension dépendront du sens et de la vitesse de déplacement.,,,,,,,,,,,,,,,,
